Original_Feature,Importance
purchase_intent_score,0.3953538168615163
device_type,0.30375216607435596
campaign_objective,0.12752245973644113
retargeting_flag,0.12558979380446805
industry_vertical,0.1155601893962611
quarter,0.11352341001600488
day_of_week,0.09381878992889302
platform,0.08008846803152588
campaign_day,0.07967007918094353
has_call_to_action,0.04958099365839976
ad_spend,0.043347088573819484
creative_format,0.026539315680454423
quality_score,0.00047061062600941563
income_bracket,9.367004787552702e-05
ad_copy_length,-0.001109461858414673
