Original_Feature,Importance
quality_score,0.4898771207762387
creative_format,0.23517047863614465
day_of_week,0.23058279567610954
industry_vertical,0.21927122775630217
quarter,0.1964978420607612
ad_spend,0.09101984192296156
device_type,0.07694474919602193
platform,0.011525276736940782
has_call_to_action,0.004410479744357587
campaign_day,0.0017821576482336288
retargeting_flag,0.0010235496936641386
purchase_intent_score,0.00096177429488723
income_bracket,1.6805069818359806e-05
campaign_objective,2.125894776328183e-06
ad_copy_length,-0.00032884879789839554
