Original Feature,Importance
purchase_intent_score,0.04729652582822761
industry_vertical,0.046964734478638415
platform,0.04678934854129472
device_type,0.04304665383642001
campaign_objective,0.030839233481057413
day_of_week,0.019673093560746167
quarter,0.019042175021040376
ad_spend,0.01896492869796531
income_bracket,0.015179711731435598
retargeting_flag,0.013113188669362152
has_call_to_action,0.012263331979683456
campaign_day,0.010957942687642285
quality_score,0.007296908381446698
creative_format,0.006637298350312504
ad_copy_length,0.00020466597218525838
