Original_Feature,Importance
ad_spend,0.9803861217114432
industry_vertical,0.1756723529827096
purchase_intent_score,0.1263927320823324
device_type,0.10465537546427936
platform,0.09072932988252777
campaign_objective,0.07746606225420495
income_bracket,0.074081390256063
quarter,0.054895749625340676
day_of_week,0.054526892114410266
campaign_day,0.04849502533111032
retargeting_flag,0.03427410117653466
has_call_to_action,0.021163776341436014
quality_score,0.01578539821592594
creative_format,0.015037459617061311
ad_copy_length,0.0015543747123953234
