Feature,Importance
categorical__purchase_intent_score_High,0.22133572307017216
categorical__device_type_Desktop,0.1980361330465707
numerical__retargeting_flag,0.06235684204638109
categorical__industry_vertical_E-commerce,0.061435634040091586
numerical__campaign_day,0.05341844986125567
categorical__campaign_objective_Brand Awareness,0.05143650455163494
numerical__quarter,0.050754814324348495
categorical__device_type_Mobile,0.03951492434715527
categorical__platform_Google Ads,0.02864678077158209
numerical__has_call_to_action,0.027600146442084042
categorical__campaign_objective_Conversions,0.027086849391234836
categorical__creative_format_Video,0.021348317767678416
categorical__purchase_intent_score_Low,0.016862184019624266
categorical__campaign_objective_Lead Generation,0.011702831572502485
categorical__day_of_week_Saturday,0.011135698210051996
categorical__platform_TikTok,0.010497412648907568
categorical__purchase_intent_score_Medium,0.010461362371749921
categorical__day_of_week_Sunday,0.010044556167649122
numerical__creative_to_campaign_age_ratio,0.007693971959612187
categorical__platform_LinkedIn,0.007260665364979308
numerical__creative_age_days,0.005853249156083572
categorical__industry_vertical_Education,0.0057988216470809244
categorical__industry_vertical_Finance,0.005764900971333453
numerical__quality_score,0.005067683979440944
numerical__hour_of_day,0.004589408138519814
categorical__industry_vertical_SaaS,0.003301191362684088
categorical__industry_vertical_Gaming,0.0029067461464936596
categorical__campaign_objective_Engagement,0.0021496048407353245
categorical__platform_Facebook,0.0019866262968980465
categorical__day_of_week_Wednesday,0.0019030826156969998
categorical__industry_vertical_Healthcare,0.0015312675433796115
categorical__platform_Twitter,0.0014276687813252708
categorical__device_type_Tablet,0.0013235762353287943
categorical__audience_interest_category_Business Professionals,0.0013212258925206207
categorical__creative_emotion_Trust,0.0012084308290931092
categorical__target_audience_age_45-54,0.0011020480323560224
categorical__day_of_week_Friday,0.0008740941615261946
categorical__operating_system_macOS,0.0008489355271840276
categorical__creative_format_Image,0.0008405960256851895
categorical__target_audience_age_25-34,0.0007958585207156946
categorical__ad_placement_Feed,0.0007869995172149494
categorical__creative_size_1920x1080,0.0007161348442992832
categorical__ad_placement_In-Stream Video,0.0006997302658980158
categorical__ad_copy_length_Medium,0.0006632395251619023
categorical__creative_size_320x50,0.0006619884497007044
categorical__operating_system_iOS,0.0006498232424105655
categorical__target_audience_age_18-24,0.0006480867526680722
categorical__target_audience_age_35-44,0.0006188922288118124
categorical__income_bracket_$50K-$100K,0.0005782346285764027
categorical__budget_tier_Low,0.0005750693739703101
categorical__creative_emotion_Urgency,0.0005665120234779274
categorical__day_of_week_Tuesday,0.0005451159066561681
categorical__creative_size_1080x1080,0.0005433106178652934
categorical__target_audience_gender_Male,0.0005400104059153058
categorical__ad_copy_length_Short,0.0005214489209981977
categorical__target_audience_gender_All,0.0005183229546123919
categorical__audience_interest_category_Tech Enthusiasts,0.0005059617753534588
categorical__operating_system_Android,0.0004991452550925572
categorical__operating_system_Windows,0.0004399192272334649
categorical__creative_size_300x250,0.0004355358429961187
categorical__target_audience_gender_Female,0.0004331079323918779
categorical__audience_interest_category_Students,0.0004258256667826091
categorical__ad_placement_Display Network,0.00040668731986035834
categorical__creative_format_Text,0.0003891344479880895
categorical__income_bracket_<$50K,0.0003744620852989062
categorical__budget_tier_High,0.0003734181073987607
categorical__audience_interest_category_Gamers,0.00036243015004138287
categorical__day_of_week_Monday,0.00035168571294912857
categorical__ad_placement_Search,0.00032987437613148747
categorical__creative_format_Carousel,0.00032969907152803244
categorical__ad_copy_length_Long,0.0002992795779333972
categorical__creative_size_1200x628,0.000293760289249018
categorical__platform_Instagram,0.0002894802894154446
categorical__day_of_week_Thursday,0.00028166408511572956
categorical__creative_emotion_Joy,0.0002775506533991911
categorical__income_bracket_>$200K,0.0002752869154346984
categorical__creative_emotion_Fear,0.0002705242722046671
categorical__budget_tier_Medium,0.0002677143136734326
categorical__ad_placement_Stories,0.00026720149152472696
categorical__creative_emotion_Neutral,0.00026438565418636075
categorical__campaign_objective_App Installs,0.0002631648430152299
categorical__creative_emotion_Curiosity,0.00025272618583105095
categorical__audience_interest_category_Health & Fitness,0.000232106630770764
categorical__audience_interest_category_Shoppers,0.0002321055012861215
categorical__creative_size_728x90,0.00022207643885738333
categorical__operating_system_Other,0.00022017391551979834
categorical__income_bracket_$100K-$200K,0.00021240348717116894
categorical__target_audience_age_65+,0.0002007121628665804
categorical__creative_format_Interactive,0.00020001274129505928
categorical__target_audience_age_55-64,0.000197370036813628
categorical__ad_placement_Sidebar,0.00018239790576700114
categorical__creative_format_Story,8.327730003858779e-05
