Feature,Importance
numerical__quality_score,0.20391126594680758
categorical__creative_format_Video,0.11916109096929314
numerical__creative_age_days,0.10188316153475006
categorical__industry_vertical_E-commerce,0.09754694169385351
numerical__quarter,0.09709253596190082
categorical__device_type_Desktop,0.042043786406123045
categorical__target_audience_age_18-24,0.03788989479613222
categorical__day_of_week_Saturday,0.03137373206948657
categorical__day_of_week_Sunday,0.030344864356240522
categorical__creative_format_Text,0.0258636032469498
categorical__target_audience_age_25-34,0.02537124778280386
categorical__creative_format_Image,0.020764402928714034
categorical__industry_vertical_Education,0.018021721020673252
categorical__industry_vertical_Finance,0.016209894846555852
categorical__creative_format_Interactive,0.014347462209626658
numerical__creative_to_campaign_age_ratio,0.012988586257462204
categorical__industry_vertical_Gaming,0.009905213776545874
categorical__industry_vertical_SaaS,0.008783094425150611
categorical__industry_vertical_Healthcare,0.008233856630872989
numerical__campaign_day,0.0072157638768825865
categorical__platform_Google Ads,0.004956576074144942
numerical__hour_of_day,0.004871682986056791
categorical__target_audience_age_35-44,0.0046362597194960905
categorical__budget_tier_Low,0.00443854865790205
categorical__target_audience_age_65+,0.004368740155151604
categorical__creative_format_Carousel,0.003845839243448956
categorical__platform_LinkedIn,0.0037908563663517345
categorical__target_audience_age_55-64,0.003657808125756778
categorical__platform_Facebook,0.0022629176840011033
categorical__day_of_week_Wednesday,0.002253264405518961
categorical__platform_TikTok,0.0015607580703816955
categorical__target_audience_age_45-54,0.0014450342935565822
categorical__campaign_objective_App Installs,0.0011964553153354083
categorical__ad_copy_length_Medium,0.0010948709922931283
categorical__creative_size_1920x1080,0.0009772338482556917
categorical__day_of_week_Tuesday,0.000975019116108762
categorical__ad_placement_In-Stream Video,0.0009590328467565606
categorical__ad_placement_Search,0.000936200883845307
categorical__purchase_intent_score_Medium,0.0008249012831632193
categorical__income_bracket_$100K-$200K,0.0007790802400110058
categorical__day_of_week_Thursday,0.0007486701529074525
categorical__campaign_objective_Lead Generation,0.000741957037797361
categorical__income_bracket_$50K-$100K,0.0007407369307812251
categorical__operating_system_Windows,0.0007223865763963511
categorical__audience_interest_category_Health & Fitness,0.0006839488878865836
categorical__device_type_Tablet,0.0006829971365246889
categorical__target_audience_gender_Male,0.0006655294990873
categorical__ad_placement_Stories,0.0006548123578721186
categorical__device_type_Mobile,0.0005929859608958887
categorical__budget_tier_Medium,0.0005920784470038015
categorical__target_audience_gender_Female,0.0005517638114685783
categorical__creative_size_728x90,0.0005515028190288974
categorical__operating_system_Android,0.0005255468751631709
categorical__campaign_objective_Conversions,0.0005253626826987938
categorical__audience_interest_category_Tech Enthusiasts,0.0004898134008297457
categorical__purchase_intent_score_Low,0.000486270774384171
categorical__budget_tier_High,0.00048321955004262425
categorical__operating_system_macOS,0.00046114386514747017
categorical__audience_interest_category_Students,0.0004347369763171344
categorical__platform_Twitter,0.0004304212467588017
categorical__creative_emotion_Urgency,0.0004277267185949398
categorical__ad_copy_length_Short,0.0004217424493213725
categorical__purchase_intent_score_High,0.0004194697344353319
categorical__audience_interest_category_Shoppers,0.00041731162693749103
categorical__creative_emotion_Neutral,0.0003930985271673204
categorical__campaign_objective_Engagement,0.00038794736870070254
categorical__operating_system_iOS,0.00038149963458095765
categorical__ad_placement_Feed,0.0003809281805044013
categorical__ad_copy_length_Long,0.00037731700889520364
categorical__audience_interest_category_Gamers,0.00037009598232700454
categorical__campaign_objective_Brand Awareness,0.00034655231428991487
categorical__audience_interest_category_Business Professionals,0.00033285600947859177
categorical__creative_size_300x250,0.00032528797507451934
categorical__creative_emotion_Trust,0.00032520253163504997
boolean__retargeting_flag,0.0003224308332796528
categorical__ad_placement_Display Network,0.0003223548366393575
categorical__creative_emotion_Curiosity,0.00031652602267160046
categorical__operating_system_Other,0.00030922240920058244
categorical__day_of_week_Monday,0.00030082513326014853
categorical__creative_emotion_Joy,0.0002960384960968551
categorical__day_of_week_Friday,0.0002919010246383208
categorical__target_audience_gender_All,0.0002819434717704445
categorical__creative_size_1080x1080,0.00025838428636733833
categorical__creative_emotion_Fear,0.0002491798886599875
categorical__income_bracket_<$50K,0.00021917081926675394
boolean__has_call_to_action,0.0002172947680904455
categorical__ad_placement_Sidebar,0.0001984023863805473
categorical__creative_size_320x50,0.00018819609887756497
categorical__income_bracket_>$200K,0.0001504465692387291
categorical__platform_Instagram,0.00012844490015189613
categorical__creative_size_1200x628,6.935760695022304e-05
categorical__creative_format_Story,2.3758353162985566e-05
