Feature,Importance
cat__purchase_intent_score_High,0.12142259639770994
cat__device_type_Desktop,0.11891875244059784
cat__industry_vertical_E-commerce,0.08186684821301256
cat__platform_LinkedIn,0.05738158630591186
num__retargeting_flag,0.055394169942476444
cat__purchase_intent_score_Low,0.05243625378527119
cat__campaign_objective_Brand Awareness,0.045572828038128704
cat__device_type_Mobile,0.04311608013051901
num__campaign_day,0.04272213076223068
cat__industry_vertical_Finance,0.03824177951572627
num__quarter,0.032767257884325635
cat__industry_vertical_Gaming,0.030494273453712577
num__has_call_to_action,0.027832991127883695
cat__day_of_week_Saturday,0.022867294306080102
cat__creative_format_Video,0.02184959055638387
cat__income_bracket_<$50K,0.02018195109566133
num__quality_score,0.019884757978262033
cat__income_bracket_>$200K,0.01689187249573732
cat__income_bracket_$50K-$100K,0.015003527947454522
cat__industry_vertical_Healthcare,0.013330203541434047
cat__platform_Google Ads,0.013300185855930553
cat__day_of_week_Sunday,0.013240899483132918
cat__campaign_objective_Conversions,0.01183302472698601
cat__industry_vertical_Education,0.010465360586441982
num__creative_to_campaign_age_ratio,0.01027831077551241
cat__income_bracket_$100K-$200K,0.007683317252068308
cat__platform_Facebook,0.007485944040603858
cat__campaign_objective_Lead Generation,0.007378431694982281
num__hour_of_day,0.006197778963455933
num__creative_age_days,0.005257736169876761
cat__platform_TikTok,0.0032642115458917805
cat__campaign_objective_Engagement,0.002947346747619327
cat__campaign_objective_App Installs,0.0021524852943913355
cat__target_audience_age_18-24,0.00169239579555403
cat__day_of_week_Friday,0.0013439495312831042
cat__budget_tier_High,0.0013018019138707607
cat__industry_vertical_SaaS,0.0012243603061610374
cat__budget_tier_Low,0.0011849106339452693
cat__day_of_week_Monday,0.0010346772203717893
cat__creative_size_728x90,0.0009857225641058595
cat__ad_placement_In-Stream Video,0.0009422146421604635
cat__ad_copy_length_Short,0.0007829167331948474
cat__creative_size_1920x1080,0.0007080285913955087
cat__creative_emotion_Trust,0.00060177744900563
cat__day_of_week_Thursday,0.000599070673512012
cat__ad_placement_Search,0.0005889268746691733
cat__creative_format_Text,0.0004770368259869712
cat__creative_size_1200x628,0.00046846590940744306
cat__audience_interest_category_Students,0.0004646214665702509
cat__creative_emotion_Neutral,0.0004444553207348578
cat__ad_copy_length_Medium,0.0004232686963373749
cat__operating_system_Other,0.0003882888178629476
cat__creative_emotion_Urgency,0.00037307563499936337
cat__audience_interest_category_Health & Fitness,0.00036139740505650815
cat__target_audience_gender_Female,0.0003405753260265563
cat__audience_interest_category_Shoppers,0.0002939639784765476
cat__ad_copy_length_Long,0.0002813738013455169
cat__creative_size_1080x1080,0.0002688808670240763
cat__platform_Instagram,0.00026794687106118935
cat__creative_emotion_Fear,0.0002595344571303066
cat__creative_size_300x250,0.00025701475940301884
cat__target_audience_age_45-54,0.00024808709178257066
cat__ad_placement_Stories,0.0002443899231505805
cat__operating_system_macOS,0.00024380387376931697
cat__ad_placement_Feed,0.0002412545331059452
cat__audience_interest_category_Gamers,0.00013266724796647347
cat__target_audience_age_55-64,0.0001253027039764859
cat__target_audience_age_35-44,0.00011863654755186945
cat__device_type_Tablet,0.000109276046852302
cat__creative_size_320x50,0.00010483163900408443
cat__target_audience_gender_Male,9.297903332671139e-05
cat__audience_interest_category_Tech Enthusiasts,7.00047558263292e-05
cat__creative_emotion_Joy,6.556220177112298e-05
cat__platform_Twitter,5.887310482773303e-05
cat__audience_interest_category_Business Professionals,4.727228448050578e-05
cat__operating_system_Windows,4.65249395338965e-05
cat__operating_system_iOS,2.8101951008517115e-05
cat__creative_format_Image,0.0
cat__creative_format_Interactive,0.0
cat__operating_system_Android,0.0
cat__ad_placement_Sidebar,0.0
cat__ad_placement_Display Network,0.0
cat__creative_format_Carousel,0.0
cat__creative_format_Story,0.0
cat__target_audience_gender_All,0.0
cat__target_audience_age_65+,0.0
cat__target_audience_age_25-34,0.0
cat__creative_emotion_Curiosity,0.0
cat__day_of_week_Wednesday,0.0
cat__day_of_week_Tuesday,0.0
cat__purchase_intent_score_Medium,0.0
cat__budget_tier_Medium,0.0
